Genre,Model,coverage_score,faithfulness_score,keyword_overlap,similarity,contradiction_rate,abs_sentiment_shift,composite_score
Health,Gemini,0.7178571428571429,0.6568285714285714,0.19999999999999998,0.7922,0.0,0.5230428571428571,0.59036
Health,GPT,0.7095285714285714,0.6479714285714285,0.19999999999999998,0.8125285714285715,0.02142857142857143,0.6294142857142857,0.5853064285714284
Health,Grok,0.7142857142857143,0.6270714285714286,0.14285714285714285,0.8209142857142858,0.015085714285714286,0.35332857142857144,0.5722407142857142
Politics,Gemini,0.60365,0.68635,0.2,0.8542125,0.0574875,0.23347500000000002,0.5640468750000001
Politics,GPT,0.605625,0.6609125,0.2,0.842,0.08149999999999999,0.3614125,0.5534131249999998
Politics,Grok,0.5838375,0.6047875,0.125,0.868275,0.08560000000000001,0.37170000000000003,0.51731625
Tech,Grok,0.80149,0.62013,0.16,0.83027,0.04916,0.1904,0.602136
Tech,GPT,0.76903,0.60999,0.18,0.84026,0.05909,0.29358,0.5907285000000001
Tech,Gemini,0.72529,0.63697,0.15,0.83224,0.08256,0.18217,0.578387
